label,cond,abs_disc,eqn
20992.b.671744.1,20992,671744,"[[1,-3,2,-1,-1],[0,1,0,1]]"
21248.a.339968.1,21248,339968,"[[0,1,3,0,-1,1],[]]"
21248.a.679936.1,21248,679936,"[[72,64,-1,-16,-3,1],[0,0,0,1]]"
21248.b.679936.1,21248,679936,"[[8,16,15,-10,-2,1],[]]"
212992.a.212992.1,212992,212992,"[[0,1,6,12,6,1],[]]"
212992.b.212992.1,212992,212992,"[[0,1,-6,12,-6,1],[]]"
212992.c.425984.1,212992,425984,"[[4,-6,4,1,-2,1],[]]"
212992.d.425984.1,212992,425984,"[[-4,-6,-4,1,2,1],[]]"
21504.a.86016.1,21504,86016,"[[0,2,-5,7,-5,2],[]]"
21504.b.86016.1,21504,86016,"[[0,2,5,7,5,2],[]]"
217088.a.217088.1,217088,217088,"[[0,1,2,-1,0,1],[]]"
217088.b.217088.1,217088,217088,"[[0,1,-2,-1,0,1],[]]"
217088.c.217088.1,217088,217088,"[[0,-1,4,-5,0,1],[]]"
217088.d.217088.1,217088,217088,"[[-1,1,1,1,-3,1],[]]"
217088.e.217088.1,217088,217088,"[[0,-1,-4,-5,0,1],[]]"
217088.f.217088.1,217088,217088,"[[1,1,-1,1,3,1],[]]"
217088.g.868352.1,217088,868352,"[[2,1,-4,-3,2,2],[]]"
217088.h.868352.1,217088,868352,"[[-2,1,4,-3,-2,2],[]]"
217088.i.868352.1,217088,868352,"[[0,2,-1,-3,0,2],[]]"
217088.j.868352.1,217088,868352,"[[0,2,1,-3,0,2],[]]"
217088.k.868352.1,217088,868352,"[[0,-2,-4,-1,3,2],[]]"
217088.l.868352.1,217088,868352,"[[0,-2,4,-1,-3,2],[]]"
2176.a.69632.1,2176,69632,"[[-17,0,24,0,-9,0,1],[0,1]]"
2176.a.69632.2,2176,69632,"[[17,0,24,0,9,0,1],[0,1]]"
2176.b.557056.1,2176,557056,"[[-1,-3,-2,-1,-1],[0,1,0,1]]"
21760.a.348160.1,21760,348160,"[[0,4,3,-6,0,1],[]]"
21760.b.348160.1,21760,348160,"[[0,-4,11,0,-4,1],[]]"
21888.a.700416.1,21888,700416,"[[0,0,-2,0,2,4],[1]]"
2208.b.847872.1,2208,847872,"[[0,4,1,-3,-4,3],[]]"
221184.a.884736.1,221184,884736,"[[0,2,5,3,1,1],[]]"
221184.b.884736.1,221184,884736,"[[0,2,-5,3,-1,1],[]]"
22144.d.708608.1,22144,708608,"[[13,16,-7,-12,0,2],[0,0,1]]"
22144.e.708608.1,22144,708608,"[[-3,-2],[0,0,1,1]]"
22528.a.45056.1,22528,45056,"[[0,-1,-2,-2,0,1],[]]"
22528.b.45056.1,22528,45056,"[[0,-1,2,-2,0,1],[]]"
22528.c.45056.1,22528,45056,"[[0,2,1,1,-3,1],[]]"
22528.d.45056.1,22528,45056,"[[0,1,-2,0,0,1],[]]"
