Z35 candidate u values: 6
Z45 candidate u values: 4
JOBS 154
Z3xZ12 t=2 m=1 u=-8/7 | TOR [ 3, 12 ] | ORD 36 | 2RK [ 2 ] | E 2730 [ 12 ] | F 910 [ 6 ] | MODEL 1736*x^6 + 11895289*x^4 + 2726705254*x^2 + 24125692185
Z2xZ24 t=1/2 u=1/2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 3570 [ 2, 6 ] | F 210 [ 2, 8 ] | MODEL -19805515020900000000*X^6 + 4964257111725480625*X^4 + 1968060072616405425*X^2 - 961361709143040
Z2xZ24 t=1/2 u=1/2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 3570 [ 2, 6 ] | F 210 [ 2, 8 ] | MODEL 12383632561860000000*X^6 - 4456366336620944375*X^4 + 382931895168470025*X^2 + 601102781346816
Z2xZ24 t=1/2 u=1/2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 3570 [ 2, 6 ] | F 210 [ 2, 8 ] | MODEL 94716636328125*X^6 - 34355377778750*X^4 + 3034398809925*X^2 - 4597555140
Z2xZ24 t=1/2 u=1/2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 3570 [ 2, 6 ] | F 210 [ 2, 8 ] | MODEL -53184406940000000*X^6 + 13158823361000625*X^4 + 5297820815106225*X^2 + 2581576510464
Z2xZ24 t=1/2 u=1/2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 3570 [ 2, 6 ] | F 210 [ 2, 8 ] | MODEL 13832948828125*X^6 + 8445148346250*X^4 + 946822115925*X^2 + 671452740
Z2xZ24 t=1/2 u=1/2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 3570 [ 2, 6 ] | F 210 [ 2, 8 ] | MODEL 665125692039900000000*X^6 + 405817317604551750625*X^4 + 44946331946120793825*X^2 - 32285268594109440
Z2xZ24 t=1/3 u=1/2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 2730 [ 2, 6 ] | F 210 [ 2, 8 ] | MODEL -7173120000000*X^6 + 1869620490000*X^4 + 757076197725*X^2 - 867448764
Z2xZ24 t=1/3 u=1/2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 2730 [ 2, 6 ] | F 210 [ 2, 8 ] | MODEL 229409510400000000*X^6 - 84719266525190000*X^4 + 7373643837923925*X^2 + 27742599628380
Z2xZ24 t=1/3 u=1/2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 2730 [ 2, 6 ] | F 210 [ 2, 8 ] | MODEL 702720000000*X^6 - 264212960000*X^4 + 24477933600*X^2 - 84980259
Z2xZ24 t=1/3 u=1/2 | TOR [ 2, 24 ] | ORD 48 | 2RK [ 2, 2 ] | E 2730 [ 2, 6 ] | F 210 [ 2, 8 ] | MODEL -709781990400000000*X^6 + 179627993602810000*X^4 + 75329491489643925*X^2 + 85834268809380
