prime	torsion_coset	m	n	k	ord_g1	ord_g2	ord_g3	state	t
17	2	2	1	5	12	6	6	3	inf
17	2	2	2	0	12	6	6	3	inf
17	2	2	2	1	12	6	6	3	inf
17	2	2	2	2	12	6	6	3	1
17	2	2	2	3	12	6	6	3	inf
17	2	2	2	4	12	6	6	3	inf
17	2	2	2	5	12	6	6	3	inf
17	2	2	3	0	12	6	6	3	inf
17	2	2	3	1	12	6	6	3	1
17	2	2	3	2	12	6	6	3	inf
17	2	2	3	3	12	6	6	3	inf
17	2	2	3	4	12	6	6	3	inf
17	2	2	3	5	12	6	6	3	inf
17	2	2	4	0	12	6	6	3	1
17	2	2	4	1	12	6	6	3	inf
17	2	2	4	2	12	6	6	3	inf
17	2	2	4	3	12	6	6	3	inf
17	2	2	4	4	12	6	6	3	inf
17	2	2	4	5	12	6	6	3	inf
17	2	2	5	0	12	6	6	3	inf
17	2	2	5	1	12	6	6	3	inf
17	2	2	5	2	12	6	6	3	inf
17	2	2	5	3	12	6	6	3	inf
