a	b	c	d	signs	primitive_a	primitive_b	primitive_c	primitive_d	rectangle	known_bank	local_contact	deep11	deep13
3510	5265	5616	5850	6	30	45	-48	-50	0	0	0	0	0
3519	4233	6969	8383	6	3519	4233	-6969	-8383	1	0	0	0	0
3520	3905	5120	5680	6	704	781	-1024	-1136	1	0	0	0	0
3520	4950	5202	5445	6	3520	4950	-5202	-5445	0	0	0	0	0
3520	5104	7920	7975	6	320	464	-720	-725	0	0	0	0	0
3526	4214	6806	8134	6	1763	2107	-3403	-4067	1	0	0	0	0
3528	3675	3920	5880	6	72	75	-80	-120	0	0	0	0	0
3528	3822	4704	5096	6	36	39	-48	-52	1	0	0	0	0
3528	4032	5733	6552	6	56	64	-91	-104	1	0	0	0	0
3534	3876	4929	5406	6	1178	1292	-1643	-1802	1	0	0	0	0
3536	4199	6656	7904	6	272	323	-512	-608	1	0	0	0	0
3536	4264	7072	8528	6	34	41	-68	-82	1	0	0	0	0
3537	6627	6897	7467	6	1179	2209	-2299	-2489	0	0	0	0	0
3540	3960	5310	5940	6	118	132	-177	-198	1	0	0	0	0
3540	5310	5664	5900	6	30	45	-48	-50	0	0	0	0	0
3542	4004	4025	8918	6	506	572	-575	-1274	0	0	0	0	0
3542	7546	7942	8096	6	161	343	-361	-368	0	0	0	0	0
3551	3819	4611	4959	6	3551	3819	-4611	-4959	1	0	0	0	0
3556	4144	6223	7252	6	508	592	-889	-1036	1	0	0	0	0
3562	4247	6812	8122	6	3562	4247	-6812	-8122	1	0	0	0	0
3564	3816	4554	4876	6	1782	1908	-2277	-2438	1	0	0	0	0
3564	3861	4752	5148	6	36	39	-48	-52	1	0	0	0	0
3564	4158	6264	7308	6	198	231	-348	-406	1	0	0	0	0
3564	4356	7524	9196	6	81	99	-171	-209	1	0	0	0	0
3564	5247	6768	9964	6	3564	5247	-6768	-9964	1	0	0	0	0
3564	5368	5832	8784	0	891	1342	1458	2196	1	1	0	0	0
3565	4185	6417	7533	6	115	135	-207	-243	1	0	0	0	0
3570	4305	7140	8610	6	34	41	-68	-82	1	0	0	0	0
3570	5355	5712	5950	6	30	45	-48	-50	0	0	0	0	0
3572	4104	5922	6804	6	1786	2052	-2961	-3402	1	0	0	0	0
3575	3925	5005	5495	6	715	785	-1001	-1099	1	0	0	0	0
3580	4420	7876	9724	6	895	1105	-1969	-2431	1	0	0	0	0
3584	4096	5824	6656	6	56	64	-91	-104	1	0	0	0	0
3588	4407	7728	9492	6	1196	1469	-2576	-3164	1	0	0	0	0
3590	4820	7180	9640	0	359	482	718	964	1	1	0	0	0
3591	4212	4788	5616	6	399	468	-532	-624	1	0	0	0	0
3593	4834	7186	9668	6	3593	4834	-7186	-9668	1	0	0	0	0
3599	4331	7139	8591	6	3599	4331	-7139	-8591	1	0	0	0	0
3600	3750	4000	6000	6	72	75	-80	-120	0	0	0	0	0
3600	3796	4160	5840	6	900	949	-1040	-1460	0	0	0	0	0
3600	3900	4800	5200	6	36	39	-48	-52	1	0	0	0	0
3600	4335	4356	4860	6	1200	1445	-1452	-1620	0	0	0	0	0
3600	5400	5415	9000	6	240	360	-361	-600	0	0	0	0	0
3600	5400	5760	6000	6	30	45	-48	-50	0	0	0	0	0
3600	5808	6084	6912	6	300	484	-507	-576	0	0	0	0	0
3604	4346	7208	8692	6	34	41	-68	-82	1	0	0	0	0
3608	4510	4960	6200	6	1804	2255	-2480	-3100	1	0	0	0	0
3614	3796	4309	4526	6	3614	3796	-4309	-4526	1	0	0	0	0
3618	5427	5868	8802	6	402	603	-652	-978	1	0	0	0	0
3619	4081	5593	6307	6	517	583	-799	-901	1	0	0	0	0
3621	4029	5325	5925	6	1207	1343	-1775	-1975	1	0	0	0	0
3626	4655	5180	6650	6	518	665	-740	-950	1	0	0	0	0
3627	4173	6045	6955	6	279	321	-465	-535	1	0	0	0	0
3630	4820	5445	7230	6	726	964	-1089	-1446	1	0	0	0	0
3630	5445	5808	6050	6	30	45	-48	-50	0	0	0	0	0
3630	7200	7680	9248	6	1815	3600	-3840	-4624	0	0	1	0	0
3632	3968	4994	5456	6	1816	1984	-2497	-2728	1	0	0	0	0
3633	5363	6363	9393	6	3633	5363	-6363	-9393	1	0	0	0	0
3636	3939	4848	5252	6	36	39	-48	-52	1	0	0	0	0
3638	4387	7276	8774	6	34	41	-68	-82	1	0	0	0	0
3640	4032	5265	5832	6	3640	4032	-5265	-5832	1	0	0	0	0
3640	4160	5915	6760	6	56	64	-91	-104	1	0	0	0	0
3640	4368	7140	8568	6	130	156	-255	-306	1	0	0	0	0
3645	4455	7695	9405	6	81	99	-171	-209	1	0	0	0	0
3645	5025	6561	9045	6	1215	1675	-2187	-3015	1	0	0	0	0
3648	4464	4864	5952	6	228	279	-304	-372	1	0	0	0	0
3648	5244	6144	8832	6	304	437	-512	-736	1	0	0	0	0
3650	7081	8450	9700	6	3650	7081	-8450	-9700	0	0	0	0	0
3658	4092	5487	6138	6	118	132	-177	-198	1	0	0	0	0
3660	4026	5160	5676	6	610	671	-860	-946	1	0	0	0	0
3660	5490	5856	6100	6	30	45	-48	-50	0	0	0	0	0
3663	4514	5346	6588	6	3663	4514	-5346	-6588	1	0	0	0	0
3666	5122	5922	8274	6	1833	2561	-2961	-4137	1	0	0	0	0
3672	3825	4080	6120	6	72	75	-80	-120	0	0	0	0	0
3672	3978	4896	5304	6	36	39	-48	-52	1	0	0	0	0
3672	4428	7344	8856	6	34	41	-68	-82	1	0	0	0	0
3675	4425	5841	6875	6	3675	4425	-5841	-6875	0	0	0	0	0
3675	4437	5365	9435	6	3675	4437	-5365	-9435	0	0	0	0	0
3680	4320	6624	7776	6	115	135	-207	-243	1	0	0	0	0
3680	4485	7680	9360	6	736	897	-1536	-1872	1	0	0	0	0
3686	4462	7486	9062	6	1843	2231	-3743	-4531	1	0	0	0	0
3690	5535	5904	6150	6	30	45	-48	-50	0	0	0	0	0
3692	3763	3952	4028	6	3692	3763	-3952	-4028	1	0	0	0	0
3696	4224	6006	6864	6	56	64	-91	-104	1	0	0	0	0
3696	4225	4455	5145	6	3696	4225	-4455	-5145	0	0	0	0	0
3696	4284	6336	7344	6	308	357	-528	-612	1	0	0	0	0
3696	4554	8064	9936	6	616	759	-1344	-1656	1	0	0	0	0
