t_num	t_den	p	r	boundary	jorder	jmod3	allowed
1	2	89	48	0	7680	0	1
1	2	89	49	0	7680	0	1
1	2	89	50	0	7040	2	0
1	2	89	51	0	6400	1	0
1	2	89	52	0	5760	0	1
1	2	89	53	0	7680	0	1
1	2	89	54	0	5760	0	1
1	2	89	55	0	6400	1	0
1	2	89	56	0	8320	1	0
1	2	89	57	0	7680	0	1
1	2	89	58	0	7680	0	1
1	2	89	59	0	6400	1	0
1	2	89	60	0	8320	1	0
1	2	89	61	0	5760	0	1
1	2	89	62	0	8320	1	0
1	2	89	63	0	5760	0	1
1	2	89	64	0	5760	0	1
1	2	89	65	0	5760	0	1
1	2	89	66	0	7680	0	1
1	2	89	67	0	7680	0	1
1	2	89	68	0	7040	2	0
1	2	89	69	0	7680	0	1
1	2	89	70	0	8320	1	0
1	2	89	71	1	0	-1	1
1	2	89	72	0	7040	2	0
1	2	89	73	0	7040	2	0
1	2	89	74	0	8320	1	0
1	2	89	75	0	7680	0	1
1	2	89	76	0	7040	2	0
1	2	89	77	0	7680	0	1
1	2	89	78	0	6400	1	0
1	2	89	79	0	6400	1	0
1	2	89	80	0	6400	1	0
1	2	89	81	0	7040	2	0
1	2	89	82	0	7040	2	0
1	2	89	83	0	8320	1	0
1	2	89	84	1	0	-1	1
1	2	89	85	0	7680	0	1
1	2	89	86	0	6400	1	0
1	2	89	87	0	7040	2	0
