m	n	k	torsion_coset
493	958	-935	1
496	-971	613	1
501	-954	177	1
501	-954	537	1
501	-666	-975	1
501	126	537	1
501	126	897	1
501	342	609	1
501	342	969	1
506	-649	577	2
506	-361	433	2
506	-361	-575	2
506	431	937	2
506	647	217	2
507	-828	105	1
517	-770	-215	1
517	310	145	1
518	-709	553	2
518	-709	-959	2
518	-709	-239	2
518	-421	913	2
518	-205	985	2
518	371	121	2
518	371	913	2
518	371	-599	2
519	-648	33	1
519	-144	465	1
519	432	393	1
519	936	825	1
522	-705	-651	1
525	-18	33	1
525	-18	-111	1
528	-867	429	1
528	429	-147	1
540	105	213	1
542	-541	-503	2
542	-325	-935	2
542	-325	-431	2
542	-37	649	2
542	467	433	2
542	755	-575	2
542	755	-71	2
543	-792	-471	1
543	-504	-111	1
543	288	-111	1
543	576	249	1
546	-561	285	1
550	451	-107	1
553	-662	505	1
554	407	-167	2
555	-828	393	1
555	252	753	1
561	-198	-615	1
561	306	-183	1
561	882	-255	1
564	249	213	1
565	-194	73	1
573	-522	465	1
573	-234	393	1
573	558	825	1
576	-579	717	1
578	-721	-647	2
578	-505	-575	2
578	-217	577	2
578	-217	865	2
578	71	721	2
578	575	-215	2
578	863	937	2
579	-396	393	1
582	-237	-291	1
582	843	69	1
589	166	-575	1
590	-277	337	2
590	-277	-959	2
590	11	985	2
590	11	-815	2
590	227	49	2
590	227	-239	2
590	803	697	2
590	803	-599	2
591	-504	-39	1
591	576	321	1
597	-882	393	1
597	-882	-111	1
597	-666	-39	1
597	-90	-255	1
597	414	321	1
601	-158	505	1
601	922	865	1
609	-990	321	1
609	-990	-543	1
609	-198	393	1
609	90	681	1
609	90	-183	1
609	882	753	1
612	33	789	1
612	33	-867	1
614	-901	-287	2
614	-685	577	2
614	395	937	2
615	-864	-615	1
615	-360	-687	1
615	216	-255	1
615	720	-327	1
618	-921	213	1
618	375	645	1
625	-14	-647	1
626	-961	-167	2
627	-900	249	1
627	-396	177	1
627	684	537	1
627	900	609	1
633	-270	105	1
633	-54	-831	1
633	-54	-687	1
636	-903	-291	1
636	-111	285	1
636	177	69	1
636	681	-3	1
636	969	645	1
643	-212	-215	1
