m	n	torsion_coset
-86011377	0	2
-85765677	0	2
-85585497	0	2
-85350717	0	2
-85285197	0	2
-84930297	0	2
-84810177	0	2
-84209577	0	2
-84083997	0	2
-83729097	0	2
-83303217	0	2
-83062977	0	2
-82648017	0	2
-82527897	0	2
-82162077	0	2
-81927297	0	2
-81861777	0	2
-81747117	0	2
-81506877	0	2
-81446817	0	2
-81201117	0	2
-80780697	0	2
-80660577	0	2
-80605977	0	2
-80305677	0	2
-80245617	0	2
-80059977	0	2
-79645017	0	2
-79579497	0	2
-79104477	0	2
-78498417	0	2
-78378297	0	2
-78323697	0	2
-77777697	0	2
-77597517	0	2
-77357277	0	2
-77297217	0	2
-76942317	0	2
-76456377	0	2
-76221597	0	2
-76156077	0	2
-76096017	0	2
-76041417	0	2
-75801177	0	2
-75741117	0	2
-75495417	0	2
-74954877	0	2
-74599977	0	2
-74539917	0	2
-74174097	0	2
-73518897	0	2
-73398777	0	2
-72798177	0	2
-72792717	0	2
-72617997	0	2
-72317697	0	2
-72071997	0	2
-71891817	0	2
-71651577	0	2
-71591517	0	2
-71236617	0	2
-71116497	0	2
-70515897	0	2
-70450377	0	2
-70390317	0	2
-70035417	0	2
-69369297	0	2
-69249177	0	2
-69194577	0	2
-68834217	0	2
-68648577	0	2
-68468397	0	2
-68233617	0	2
-68168097	0	2
-67813197	0	2
-67092477	0	2
-67087017	0	2
-66966897	0	2
-66912297	0	2
-66611997	0	2
-66366297	0	2
-65885817	0	2
-65410797	0	2
-65044977	0	2
-64684617	0	2
-64630017	0	2
-64389777	0	2
-64084017	0	2
-63663597	0	2
-63488877	0	2
-63188577	0	2
-62942877	0	2
-62762697	0	2
-62527917	0	2
-62462397	0	2
-62107497	0	2
-61987377	0	2
-61386777	0	2
-61261197	0	2
-60906297	0	2
-60480417	0	2
-60240177	0	2
-59825217	0	2
-59705097	0	2
-59339277	0	2
-59104497	0	2
-59038977	0	2
-58924317	0	2
-58684077	0	2
-58624017	0	2
-58378317	0	2
-57957897	0	2
-57837777	0	2
-57783177	0	2
-57482877	0	2
-57422817	0	2
-57237177	0	2
-56822217	0	2
-56756697	0	2
-56281677	0	2
-55675617	0	2
-55555497	0	2
-55500897	0	2
-54954897	0	2
-54774717	0	2
-54534477	0	2
-54474417	0	2
-54119517	0	2
-53633577	0	2
-53398797	0	2
-53333277	0	2
-53273217	0	2
-53218617	0	2
-52978377	0	2
-52918317	0	2
-52672617	0	2
-52132077	0	2
-51777177	0	2
-51717117	0	2
-51351297	0	2
-50696097	0	2
-50575977	0	2
-49975377	0	2
-49969917	0	2
-49795197	0	2
-49494897	0	2
-49249197	0	2
-49069017	0	2
-48828777	0	2
-48768717	0	2
-48413817	0	2
-48293697	0	2
-47693097	0	2
-47627577	0	2
-47567517	0	2
-47212617	0	2
-46546497	0	2
-46426377	0	2
-46371777	0	2
-46011417	0	2
-45825777	0	2
-45645597	0	2
-45410817	0	2
-45345297	0	2
-44990397	0	2
-44269677	0	2
-44264217	0	2
-44144097	0	2
-44089497	0	2
-43789197	0	2
-43543497	0	2
-43063017	0	2
-42587997	0	2
-42222177	0	2
-41861817	0	2
-41807217	0	2
-41566977	0	2
-41261217	0	2
-40840797	0	2
-40666077	0	2
-40365777	0	2
-40120077	0	2
-39939897	0	2
-39705117	0	2
-39639597	0	2
-39284697	0	2
-39164577	0	2
-38563977	0	2
-38438397	0	2
-38083497	0	2
-37657617	0	2
-37417377	0	2
-37002417	0	2
-36882297	0	2
-36516477	0	2
-36281697	0	2
-36216177	0	2
-36101517	0	2
-35861277	0	2
-35801217	0	2
-35555517	0	2
-35135097	0	2
-35014977	0	2
-34960377	0	2
-34660077	0	2
-34600017	0	2
-34414377	0	2
-33999417	0	2
-33933897	0	2
-33458877	0	2
-32852817	0	2
-32732697	0	2
-32678097	0	2
-32132097	0	2
-31951917	0	2
-31711677	0	2
-31651617	0	2
-31296717	0	2
-30810777	0	2
-30575997	0	2
-30510477	0	2
-30450417	0	2
-30395817	0	2
-30155577	0	2
-30095517	0	2
-29849817	0	2
-29309277	0	2
-28954377	0	2
-28894317	0	2
-28528497	0	2
-27873297	0	2
-27753177	0	2
-27152577	0	2
-27147117	0	2
-26972397	0	2
-26672097	0	2
-26426397	0	2
-26246217	0	2
-26005977	0	2
-25945917	0	2
-25591017	0	2
-25470897	0	2
-24870297	0	2
-24804777	0	2
-24744717	0	2
-24389817	0	2
-23723697	0	2
-23603577	0	2
-23548977	0	2
-23188617	0	2
-23002977	0	2
-22822797	0	2
-22588017	0	2
-22522497	0	2
-22167597	0	2
-21446877	0	2
-21441417	0	2
-21321297	0	2
-21266697	0	2
-20966397	0	2
-20720697	0	2
-20240217	0	2
-19765197	0	2
-19399377	0	2
-19039017	0	2
-18984417	0	2
-18744177	0	2
-18438417	0	2
-18017997	0	2
-17843277	0	2
-17542977	0	2
-17297277	0	2
-17117097	0	2
-16882317	0	2
-16816797	0	2
-16461897	0	2
-16341777	0	2
-15741177	0	2
-15615597	0	2
-15260697	0	2
-14834817	0	2
-14594577	0	2
-14179617	0	2
-14059497	0	2
-13693677	0	2
-13458897	0	2
-13393377	0	2
-13278717	0	2
-13038477	0	2
-12978417	0	2
-12732717	0	2
-12312297	0	2
-12192177	0	2
-12137577	0	2
-11837277	0	2
-11777217	0	2
-11591577	0	2
-11176617	0	2
-11111097	0	2
-10636077	0	2
-10030017	0	2
-9909897	0	2
-9855297	0	2
-9309297	0	2
-9129117	0	2
-8888877	0	2
-8828817	0	2
-8473917	0	2
-7987977	0	2
-7753197	0	2
-7687677	0	2
-7627617	0	2
-7573017	0	2
-7332777	0	2
-7272717	0	2
-7027017	0	2
-6486477	0	2
-6131577	0	2
-6071517	0	2
-5705697	0	2
-5050497	0	2
-4930377	0	2
-4329777	0	2
-4324317	0	2
-4149597	0	2
-3849297	0	2
-3603597	0	2
-3423417	0	2
-3183177	0	2
-3123117	0	2
-2768217	0	2
-2648097	0	2
-2047497	0	2
-1981977	0	2
-1921917	0	2
-1567017	0	2
-900897	0	2
-780777	0	2
-726177	0	2
-365817	0	2
-180177	0	2
3	0	2
234783	0	2
300303	0	2
655203	0	2
1375923	0	2
1381383	0	2
1501503	0	2
1556103	0	2
1856403	0	2
2102103	0	2
2582583	0	2
3057603	0	2
3423423	0	2
3783783	0	2
3838383	0	2
4078623	0	2
4384383	0	2
4804803	0	2
4979523	0	2
5279823	0	2
5525523	0	2
5705703	0	2
5940483	0	2
6006003	0	2
6360903	0	2
6481023	0	2
7081623	0	2
7207203	0	2
7562103	0	2
7987983	0	2
8228223	0	2
8643183	0	2
8763303	0	2
9129123	0	2
9363903	0	2
9429423	0	2
9544083	0	2
9784323	0	2
9844383	0	2
10090083	0	2
10510503	0	2
10630623	0	2
10685223	0	2
10985523	0	2
11045583	0	2
11231223	0	2
11646183	0	2
11711703	0	2
12186723	0	2
12792783	0	2
12912903	0	2
12967503	0	2
13513503	0	2
13693683	0	2
13933923	0	2
13993983	0	2
14348883	0	2
14834823	0	2
15069603	0	2
15135123	0	2
15195183	0	2
15249783	0	2
15490023	0	2
15550083	0	2
15795783	0	2
16336323	0	2
16691223	0	2
16751283	0	2
17117103	0	2
17772303	0	2
17892423	0	2
18493023	0	2
18498483	0	2
18673203	0	2
18973503	0	2
19219203	0	2
19399383	0	2
19639623	0	2
19699683	0	2
20054583	0	2
20174703	0	2
20775303	0	2
20840823	0	2
20900883	0	2
21255783	0	2
21921903	0	2
22042023	0	2
22096623	0	2
22456983	0	2
22642623	0	2
22822803	0	2
23057583	0	2
23123103	0	2
23478003	0	2
24198723	0	2
24204183	0	2
24324303	0	2
24378903	0	2
24679203	0	2
24924903	0	2
25405383	0	2
25880403	0	2
26246223	0	2
26606583	0	2
26661183	0	2
26901423	0	2
27207183	0	2
27627603	0	2
27802323	0	2
28102623	0	2
28348323	0	2
28528503	0	2
28763283	0	2
28828803	0	2
29183703	0	2
29303823	0	2
29904423	0	2
30030003	0	2
30384903	0	2
30810783	0	2
31051023	0	2
31465983	0	2
31586103	0	2
31951923	0	2
32186703	0	2
32252223	0	2
32366883	0	2
32607123	0	2
32667183	0	2
32912883	0	2
33333303	0	2
33453423	0	2
33508023	0	2
33808323	0	2
33868383	0	2
34054023	0	2
34468983	0	2
34534503	0	2
35009523	0	2
35615583	0	2
35735703	0	2
35790303	0	2
36336303	0	2
36516483	0	2
36756723	0	2
36816783	0	2
37171683	0	2
37657623	0	2
37892403	0	2
37957923	0	2
38017983	0	2
38072583	0	2
38312823	0	2
38372883	0	2
38618583	0	2
39159123	0	2
39514023	0	2
39574083	0	2
39939903	0	2
40595103	0	2
40715223	0	2
41315823	0	2
41321283	0	2
41496003	0	2
41796303	0	2
42042003	0	2
42222183	0	2
42462423	0	2
42522483	0	2
42877383	0	2
42997503	0	2
43598103	0	2
43663623	0	2
43723683	0	2
44078583	0	2
44744703	0	2
44864823	0	2
44919423	0	2
45279783	0	2
45465423	0	2
45645603	0	2
45880383	0	2
45945903	0	2
46300803	0	2
47021523	0	2
47026983	0	2
47147103	0	2
